polish,english,example,grammatical_type
bezokolicznik,infinitive,,linguistic
bezowocny,fruitless,,adjective
bezpieczeństwo,security/safety,,n noun
bezpieczny,safe,,adjective
bezrobocie,unemployment,,n noun
bezwzględny,ruthless,,adjective
bieganie,running,,n noun
biernik (kogo? co?),accusative case,,m noun
bierz (brać),Take! (repeated),,imperative
bierzesz (brać),You are taking,,conjugation
biorę (brać),I am taking,,conjugation
biżuteria,jewellery,,f noun
bliskość,closeness/nearness,,f noun
blizna,scar,,f noun
bliźniaczka,twin (female),,f noun
bliźniak,twin (male),,m noun
blokada,blockage,,f noun
bogactwo,wealth,,n noun
bohater,hero/protagonist,,m noun
bojaźliwy,timid,,adjective
bok,side,Nie ma boku,m noun
boleć,to ache/hurt,Boli mnie głowa,verb
boleśnie,painfully,,adverb
brak,a lack,,m noun
brakować,to lack,Brakuje mi wyobraźni (I lack imagination),verb
brakujący,missing,Uzupełnić brakujące litery (Fill in the missing letters),adjective
bramka,goal/gate,,f noun
branża,branch/trade/business,,f noun
bratowa,sister-in-law,,f noun
bronić,to defend (repeated),,verb
broń,weapon,,f noun
brzeg,edge/brim,Nie ma brzegu,m noun
brzmienie,sound/tone,,n noun
brzmieć,to sound (repeated),,verb
brzmij (brzmieć),Sound! (repeated),,imperative
brzmisz (brzmieć),You sound,,conjugation
brzmię (brzmieć),I sound,,conjugation
budować,to build (repeated),,verb
buntownik,rebel/mutineer,,m noun
burmistrz,mayor,,m noun
burz (burzyć),Demolish/destroy! (repeated),,imperative
burzliwy,stormy,,adjective
burzysz (burzyć),You are demolishing/destroying,,conjugation
burzyć,to demolish/destroy (repeated),,verb
burzę (burzyć),I am demolishing/destroying,,conjugation
bydło,cattle,,n noun
bywać,to be (frequentative),Bywa trochę irytuący (He can be a bit irritating),verb
były,ex/former,,adjective
bzdura,nonsense/rubbish,,f noun
bójka,fight,,f noun
błahy,trivial,,adjective
błysk,flash/twinkle,Nie ma błysku,m noun
błąd,mistake/error,Nie ma błędu (There's no mistake),m noun
całkowicie,completely/totally,,adverb
cecha,feature/trait/property/attribute,Odwaga jest ważna cecha charakteru,f noun
celibat,celibacy,Nie ma celibatu,m noun
celować,to aim (repeated),,verb
celownik (komu? czemu?),dative case,,m noun
cenić,to value/appreciate,Konsumenci cenią niższe ceny,verb
charytatywny,charitable,,adjective
chmiel,hop,Nie me chmielu,m noun
chociaż,(even) though,"Nie jestem wesoły, chociaż piję wino",conjunction
chodzenie,walking,,n noun
choroba,disease,,f noun
choć,(even) though,"Jestem smutny, choć mam wino",conjunction
chwilowo,momentarily/temporarily,Sklep jest chwilowo nieczynny,adverb
chwilowy,temporary,,adjective
chwycić,to grasp/grab (once),,perf verb
chwytać,to grasp/grab (repeated),,verb
chętny,eager,,adjective
chęć,desire,,f noun
ciasny,tight/cramped,,adjective
ciekawość,curiosity/interest,,f noun
cienki,thin,,adjective
cierpienie,suffering,,n noun
cierpieć,to suffer,Cały naród cierpi (The whole nation suffers),verb
cisza,silence,,f noun
ciągle,continuously,,adverb
ciąża,pregnancy,Mama była w czwartym miesiącu ciąży,f noun
ciężar,weight,Nie ma ciężaru,m noun
cofać,to reverse (repeated),,verb
cofniesz (cofnąć),You will reverse,,conjugation
cofnąć,to reverse (once),,perf verb
cofnę (cofnąć),I will reverse,,conjugation
cud,miracle/marvel/wonder,Nie ma cudu,m noun
cudzoziemiec,foreigner,Jestem cudzoziemcem,m noun
cudzy,somebody else's,,adjective
cygan,gypsy,,m noun
cyniczny,cynical,,adjective
czasami,sometimes,,adverb
czasownik,verb,,m noun
czekanie,waiting,,n noun
czepiać się,to pick on,,verb
czerwiec,June,,m noun
czesne,tuition fee,,n noun
czoło,forehead,"Na czole, pięć czół",n noun
czterysta,four hundred,,numeral
czułość,tenderness/affection,,f noun
czynić,to do/make something significant (repeated),,verb
czynność,action/activity,,f noun
czytelnik,reader,Czytelniczka,m noun
częstować,to offer (repeated),,verb
częsty,common/frequent,,adjective
część,part/piece,,f noun
członek,member (of a group),Jestem członkiem tej grupy,m noun
cętka,spot,W cętki (spotted),f noun
dalszy,further,,adjective
dane,data,Nie ma danych,f plural noun
dar,gift/present,Nie ma daru,m noun
darmowy,free (of charge),,adjective
darować,to gift (repeated),,verb
dawka,dose,,f noun
dbać,to care (for) (repeated),,verb
definicja,definition,,f noun
demonstracyjnie,demonstratively/ostentatiously,,adverb
denerwujący,annoying/irritating,,adjective
depcz (deptać),Tread/trample! (repeated),,imperative
depczesz (deptać),You are treading/trampling,,conjugation
depczę (deptać),I am treading/trampling,,conjugation
deptać,to tread/trample (repeated),,verb
dezaprobata,disapproval,,f noun
diament,diamond,Nie ma diamentu,m noun
dlatego,so/therefore,Śpię dlatego że dziś nie pracuję,conjunction
dno,bottom of water,,n noun
dobierać,to select/match (repeated),,verb
dobrać,to select/match (once),,perf verb
doceniać,to appreciate (repeated),,verb
docenisz (docenić),You will appreciate,,conjugation
docenić,to appreciate (once),,perf verb
docenię (docenić),I will appreciate,,conjugation
dochodzić,to reach/arrive (repeated),,verb
dochód,income/profit,Nie ma dochodu,m noun
dodadzą (dodać),They will add,,conjugation
dodaj (dodać),Add! (once),,imperative
dodajesz (dodawać),You are adding,,conjugation
dodaję (dodawać),I am adding,,conjugation
dodam (dodać),I will add,,conjugation
dodatkowo,additionally,,adverb
dodawaj (dodawać),Add! (repeated),,imperative
dodawanie,addition,,n noun
dodawać,to add (repeated),,verb
dodać,to add (once),,perf verb
doganiać,to catch up with (repeated),,verb
dogodny,convenient/suitable,,adjective
dogonić,to catch up with (once),,perf verb
dojrzałość,ripeness/maturity,,f noun
dojść,to reach/arrive (once),,perf verb
dokuczać,to tease (repeated),,verb
dokuczliwy,troublesome/biting/gnawing/nagging,,adjective
dokuczyć,to tease (once),,perf verb
dokładność,precision/accuracy,,f noun
dolegać,to trouble/bother,Co panu/pani dolega?,verb
domniemany,alleged/supposed,,adjective
domyślać się,to guess/suspect (repeated),,verb
domyślić się,to guess/suspect (once),,perf verb
doniczka,flowerpot,,f noun
dopasować,to fit/match (once),,perf verb
dopasowywać,to fit/match (repeated),,verb
dopełniacz (kogo? czego?),genitive case,,m noun
dopiero,barely/scarcely,,adverb
dopingować,to support/boost (repeated),,verb
doradzać,to advise somebody (repeated),Doradzać komuś coś,verb
doradzić,to advise somebody (once),,perf verb
dorosłość,adulthood,,f noun
dorosły,grown-up,,adjective
dosięgać,to reach/catch up (repeated),,verb
dosięgnąć,to reach/catch up (once),,perf verb
doskonale,perfectly,,adverb
doskonały,perfect,,adjective
dostajesz (dostawać),You are get getting/receiving,,conjugation
dostaję (dostawać),I am getting/receiving,,conjugation
dostaniesz (dostać),You will get/receive,,conjugation
dostanę (dostać),I will get/receive,,conjugation
dostarczać,to deliver (repeated),,verb
dostarczyć,to deliver (once),Czy dostarczacie lodówki? (Do you deliver fridges?),perf verb
dostawaj (dostawać),Get/receive! (repeated),,imperative
dostawać,to get/receive (repeated),,verb
dostać,to get/receive (once),,perf verb
dostań (dostać),Get/receive! (once),,imperative
dostęp,access to (something),,m noun
dostępny,accessible,,adjective
dosłownie,literally,,adverb
dotkliwy,severe/bitter/biting,Dotkliwy ból/strata/wiatr,adjective
dotkniesz (dotknąć),You will touch,,conjugation
dotknij (dotknąć),Touch! (once),,imperative
dotknąć,to touch (once),,perf verb
dotknę (dotknąć),I will touch,,conjugation
dotychczas,until now,,adverb
dotyczyć,to concern,To was nie dotyczy,verb
dotyk,touch,Nie ma dotyku,m noun
dotykaj (dotykać),Touch! (repeated),,imperative
dotykam (dotykać),I am touching,,conjugation
dotykasz (dotykać),You are touching,,conjugation
dotykać,to touch (repeated),,verb
dowcip,joke,Nie ma dowcipu,m noun
dowiadywać się,to learn about (repeated),,verb
dowiedzieć się,to learn about (once),,perf verb
dowolny,free/any/arbitrary,,adjective
dowód,evidence,Policja szuka dowodów,m noun
dozorca,caretaker/janitor,,m noun
doświadczenie,experience,,n noun
drabina,ladder,,f noun
dreszcze,shivers,,m plural noun
drewniany,wooden,,adjective
drobny,small/frail/fine,,adjective
druciany,wire,,adjective
drukować,to print (repeated),,verb
drużyna,team/squad,,f noun
dusza,soul,,f noun
dwa miliony,two million,,numeral
dwa tysiące,two thousand,,numeral
dwieście,two hundred,,numeral
dyktando,dictation,,n noun
dym,smoke,,m noun
dyskutować,to discuss (repeated),,verb
dyspozycyjność,availability,,f noun
dyżur,duty hours,Nie ma dyżuru,m noun
dzbanek,jug,Nie ma dzbanka,m noun
dziać się,to happen,,verb
dział,division/department,,m noun
działalność,activity,,f noun
działanie,action,Potrzebujemy innego działania,n noun
działać,to work/function,,verb
działka,building plot,,f noun
dzieciństwo,childhood,,n noun
dziedzina,branch/discipline/area,Oboje otrzymali Nagrodę Nobla w dziedzinie fizyki,f noun
dziel się (dzielić się),Share/divide! (repeated),,imperative
dzielisz się (dzielić się),You are sharing/dividing,,conjugation
dzielić się,to share/divide (repeated),,verb
dzielnica,district,,f noun
dzielę się (dzielić się),I am sharing/dividing,,conjugation
dzisiejszy,today's,,adjective
dziw się (dziwić się),Be surprised! (repeated),,imperative
